[BAD][SRP] Payment of 5000 processed
[GOOD][SRP] Payment of 5000 processed
[BAD][OCP] Payment: stripe, Amount: 1000
[BAD][OCP] Payment: paypal, Amount: 2000
[GOOD][OCP] Payment: Stripe, Amount: 1000
[GOOD][OCP] Payment: PayPal, Amount: 2000
[BAD][LSP] Payment: Stripe, Amount: 1000
[BAD][LSP] BNPL: Stripe, Amount: 1500
[BAD][LSP] Payment: PayPal, Amount: 2000
[GOOD][LSP] Payment: Stripe, Amount: 2000
[GOOD][LSP] BNPL: Stripe, Amount: 1500
[GOOD][LSP] Payment: PayPal, Amount: 2500
[BAD][LSP] Payment: Stripe, Amount: 1000
[BAD][LSP] BNPL: Stripe, Amount: 1500
[BAD][LSP] Payment: PayPal, Amount: 2000
[GOOD][LSP] Payment: Stripe, Amount: 2000
[GOOD][LSP] BNPL: Stripe, Amount: 1500
[GOOD][LSP] Payment: PayPal, Amount: 2500
[BAD][ISP] Payment: Solid\ISP\BadExample\StripePayment, Amount: 1000
[BAD][ISP] Payment: Solid\ISP\BadExample\PayPalPayment, Amount: 2000
[GOOD][ISP] Payment: Solid\ISP\GoodExample\StripePayment, Amount: 1000
[GOOD][ISP] Payment: Solid\ISP\GoodExample\PayPalPayment, Amount: 2000
